workerIdHash,age,gender,area,decision,a_host_id,b_host_id,a_trust,b_trust,state,choice
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,2739089,6244983,74.0,53.0555555556,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,4716104,1577961,52.6666666667,73.8888888889,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,12131690,27228556,66.1111111111,87.0,L,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,29688938,60923,76.0,43.6666666667,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,796464,17020845,52.3333333333,73.3333333333,L,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,2255412,14418694,35.3333333333,75.5555555556,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,288153,19124621,81.6666666667,48.6666666667,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,12863112,6244983,72.6666666667,53.0555555556,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,6389913,4220709,80.6666666667,58.3333333333,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,4025366,2216368,76.3888888889,50.3333333333,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,4244052,19413086,81.3333333333,51.0,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,29566381,727945,87.3333333333,42.5,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,18266648,6289109,41.3333333333,78.8888888889,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,1887615,1887580,82.6666666667,69.3333333333,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,482998,1267021,80.5555555555,55.6666666667,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,21565738,16070611,93.3333333333,59.0,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,380073,1348868,89.7222222222,51.6666666667,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,13063145,1348868,82.0,51.6666666667,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,4010906,7553984,50.6666666667,88.0,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,908893,29685660,57.0,78.6666666667,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,34179107,5050189,48.3333333333,80.0,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,10212420,21008264,52.3333333333,79.6666666667,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,1821106,29071381,56.3333333333,76.6666666667,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,328264,4220709,88.6666666667,58.3333333333,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,7028880,2727122,56.6666666667,76.6666666667,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,8551260,4300883,63.6666666667,85.3333333333,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,7721079,28368051,59.3333333333,82.0,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,3908620,3424306,85.0,65.0,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,3901812,2791463,79.1666666667,56.6666666667,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,1821106,2681667,56.3333333333,81.0,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,15384170,17879124,76.3333333333,61.3333333333,H,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,4679279,21744759,55.3333333333,81.0,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,3339701,6370270,80.8333333333,53.3333333333,H,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,5918937,29688938,49.0,76.0,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,4513562,802637,60.2777777778,79.7222222222,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,19400891,21172476,80.6666666667,61.6666666667,H,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,11377754,33205829,54.3333333333,79.6666666667,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,27228556,1678230,87.0,63.6666666667,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,1373979,7821007,60.0,85.0,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,12131690,43613912,66.1111111111,87.0,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,13995545,1887615,66.0,82.6666666667,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,1577961,2978171,73.8888888889,49.4444444445,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,2388819,2791463,81.6666666667,56.6666666667,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,1368638,3628392,65.3333333333,81.6666666667,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,8187640,673805,62.6666666667,89.3333333333,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,7506913,5792383,80.0,48.6666666667,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,9453700,4244052,58.0,81.3333333333,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,1887580,4366731,69.3333333333,85.6666666667,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,8654665,11375921,82.3333333333,61.3333333333,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,22414188,15138589,86.3888888889,57.6666666667,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,2681667,3458990,81.0,58.0,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,851489,41879983,73.3333333333,46.6666666667,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,4882781,9039262,63.0,80.3333333333,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,22023014,3143600,80.6666666667,61.3333333333,H,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,3234412,1578334,46.0,79.0,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,1223259,15762897,78.0,49.0,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,23313128,14969803,80.0,46.0,H,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,15616603,1602809,41.0,82.6666666667,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,9630766,1675869,79.0,55.8333333334,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,2729738,8850409,55.6666666667,75.3333333333,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,0,7240751,1157814,56.0,81.3333333333,L,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,16189003,16190336,80.6666666667,53.6666666667,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,1574784,33373872,77.3333333333,44.0,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,39880373,4143940,85.6666666667,60.8333333334,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,5146381,7293756,79.0,39.6666666667,H,H
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,289653,3201412,56.0,74.3333333333,L,L
f2624f4da5c2fe9231662d2824da81acb8b80c7279d9780d5e4ae082,26,Female,Urban,1,19462498,7721079,79.0,59.3333333333,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,28368051,3143600,82.0,61.3333333333,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,13583715,1708289,51.9444444445,70.3333333333,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,1600719,11377754,85.6666666667,54.3333333333,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,30536724,22414188,59.6666666667,86.3888888889,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,21744759,16070611,81.0,59.0,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,1024905,12010926,45.6666666667,85.0,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,33251473,673805,52.3333333333,89.3333333333,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,7821007,5493138,85.0,66.3333333333,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,237849,3078168,81.6666666667,49.3333333333,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,6447740,5160525,81.0,45.6666666667,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,6734458,20856424,35.3333333333,72.3333333333,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,8551260,1335409,63.6666666667,79.5238095238,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,247996,2727122,28.3333333333,76.6666666667,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,16551725,6389913,55.6666666667,80.6666666667,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,672624,6389913,54.6666666667,80.6666666667,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,22414188,19694209,86.3888888889,49.0,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,15384170,422789,76.3333333333,62.0,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,14008508,1834769,87.3333333333,69.1666666667,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,908893,21744759,57.0,81.0,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,3143600,2374185,61.3333333333,86.6666666667,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,3201412,6255954,74.3333333333,55.5555555556,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,7453694,5792383,81.0,48.6666666667,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,16189003,2365114,80.6666666667,65.6666666667,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,1602809,40336196,82.6666666667,59.6666666667,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,2476974,36519782,48.8888888889,73.3333333333,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,3625115,498638,77.6666666667,60.6666666667,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,21008264,19644682,79.6666666667,55.3333333333,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,727945,27795514,42.5,85.3333333333,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,5146381,21020951,79.0,56.6666666667,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,2065453,4620594,85.6666666667,55.0,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,802637,8747352,79.7222222222,59.0,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,4026436,4366731,67.5,85.6666666667,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,18609006,4679279,78.6111111111,55.3333333333,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,4870158,18880856,61.0,80.0,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,39880373,19124621,85.6666666667,48.6666666667,H,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,4620594,288153,55.0,81.6666666667,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,1832472,5628914,67.2222222222,38.3333333333,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,20856424,2433247,72.3333333333,46.6666666667,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,35957542,6678075,44.0,65.6666666667,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,207419,674581,82.0,65.2380952381,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,9996343,13285063,59.4444444444,88.5714285714,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,4407429,3955766,62.7777777778,82.3333333333,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,3424306,2764119,65.0,79.7222222222,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,13063145,5533589,82.0,66.0,H,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,1,40336196,623244,59.6666666667,83.3333333333,L,L
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,13261121,16906759,63.3333333333,82.6666666667,L,H
29d5308eca1d5274b6e676187f1308cf5988d1aaff2845c393cd5bd0,32,Female,Suburban,0,16070611,23747462,59.0,81.0,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,8548430,40913940,76.1111111111,37.5,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,26378062,23672572,78.3333333333,63.6666666667,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,4716104,2681667,52.6666666667,81.0,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,29113638,10891326,83.6666666667,68.3333333333,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,3135755,1698391,82.5,64.1666666667,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,1600719,10099344,85.6666666667,63.3333333333,H,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,747934,7519116,75.2777777778,42.6666666667,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,9453700,3625115,58.0,77.6666666667,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,2974150,23355336,85.6666666667,58.0,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,8475198,15512043,79.4444444444,51.6666666667,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,33373872,2093989,44.0,78.3333333333,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,7240751,12987638,56.0,76.3888888889,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,25523,25206844,32.3333333333,82.3333333333,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,8475198,10099344,79.4444444444,63.3333333333,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,15089968,851489,29.6666666667,73.3333333333,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,2729738,2513602,55.6666666667,77.0,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,2978171,809398,49.4444444445,74.0,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,3625115,37488202,77.6666666667,57.6666666667,H,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,13583715,10180617,51.9444444445,74.3333333333,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,2476974,22239038,48.8888888889,73.0,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,1364547,7721079,81.3888888889,59.3333333333,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,3494604,328264,65.3333333333,88.6666666667,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,24789838,5132643,33.0,75.6666666667,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,17711637,3803498,73.0,54.6666666667,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,11707968,2895587,75.6666666667,51.3333333333,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,2365114,4228996,65.6666666667,80.0,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,29688938,5989392,76.0,38.0,H,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,39824695,2093989,60.0,78.3333333333,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,21565738,908893,93.3333333333,57.0,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,20256286,5976835,56.6666666667,83.3333333334,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,422789,623244,62.0,83.3333333333,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,2374185,14859311,86.6666666667,66.0,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,28331800,4522418,56.1111111111,84.3333333333,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,107605,6447740,55.6666666667,81.0,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,27795514,924436,85.3333333333,54.0,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,425988,5160525,78.6666666667,45.6666666667,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,290662,1206902,86.7222222222,64.6666666667,H,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,10212420,28251936,52.3333333333,73.0,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,2630368,7821007,65.2777777778,85.0,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,2904960,16189003,61.3333333333,80.6666666667,L,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,623244,21172476,83.3333333333,61.6666666667,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,673805,1197823,89.3333333333,67.3333333333,H,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,7338,5146381,51.6666666667,79.0,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,0,10180617,21846735,74.3333333333,46.3333333333,H,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,16189003,4324378,80.6666666667,61.6666666667,H,H
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,4727511,10180617,37.2222222222,74.3333333333,L,L
dc6cedbc653bd8d9a88be01e02201948e6d47e47f0a4d56221587b52,56,Male,Suburban,1,13995545,3329218,66.0,88.0,L,L
