host_id,host_about,sentence_cnt,WC,room_type_c,market,host_is_superhost,interestsTastes,lifeMottoValues,workEducation,relationships,personality,originResidence,travel,hospitality,other
4131035,"We are a couple both born and raised in Illinois but have traveled extensively.  We are silly but very hard workers and get really excited about people and their ideas. We are in the midst of redefining our professional lives through connecting with others, taking care of them, sharing their stories and making connections for them. We love music, art, photography, food, biking, animals, movement, and making new friends. ",4,69,Private or Shared Room,Chicago,f,1,0,2,1,1,1,1,0,0
7519116,"Meet our family:

Glenda, from Italy, university researcher (immigration and refugee issues)
Tony, from Chicago, radio producer (cultural programs)
Giulio, from Chicago, CTA trains expert and Ninja fan",1,28,Entire Home/Apt,Chicago,f,0,0,1,1,0,1,0,0,0
2123604,I live part of the year in Chicago and  the other in Buenos Aires where I own a small business. Travel is a passion of mine and I try to visit new places as often as I can. ,2,38,Private or Shared Room,Chicago,f,0,0,0,0,0,1,1,0,0
13583715,"I'm a master student in Northwestern university, I live with my fiancé, a law school student in University of Chicago.",1,20,Entire Home/Apt,Chicago,f,0,0,1,1,0,0,0,0,0
5918937,Experienced travelers who like to get off the beaten path.,1,10,Entire Home/Apt,Chicago,f,0,0,0,0,0,0,1,0,0
9510172,"Hi, I'm Russ. I currently travel quite a bit for my work (with I love) which is helping groups and teams unleash more creativity and innovation. I have a traveler's soul and I enjoy meeting good people, seeing great theater and eating great food. I will be traveling back and forth to Australia the next few months for work and am looking to find some great places to stay to get a sense of what some of the local neighborhoods are like. ",4,82,Entire Home/Apt,Chicago,f,1,0,0,0,0,0,3,1,0
16169014,"I live very much in the moment, and love the excitement of moving to new cities when I find myself getting stir crazy. I think lacing up and going on a run is the best way to explore, and after three years of living in Chicago, I still have a lot of interesting ground to cover! 

I have a Belgian Malinois rescue, who is afraid of everything, but loves the sound of dogs barking on the TV.    ",3,77,Entire Home/Apt,Chicago,f,1,0,0,1,1,1,0,0,0
32390928,"I'm woman living in Chicago, working a on a Master Degree in Human Resource Management. I love my city and willing to show visitor around if I'm available. I like movies, music, concerts, golf, traveling and meeting new people. I consider myself a Bohemian and I get alone with everyone.  

",4,50,Entire Home/Apt,Chicago,f,1,0,1,0,1,1,1,1,0
11375921,"Hey!  I'm excited to meet you.  Here's a little bit about me.

I'm an all around entrepreneur. For years I sold gaming and collectibles in my own stores, on several websites, and on Ebay and Amazon.  I've also been a Lyft driver and mentor for the last year or so, driving around town sharing stories and meeting new people.  I'm also a dad, so you may run into two adorable tiny humans during your stay.  I love BBQ and whiskey and checking out new bars and restaurants.  Also living here is my friend Kathy.  She's also a Lyft driver and is currently finishing up nursing school.  She likes to play guitar and bake chocolate chip cookies (but not at the same time).  I have two friendly laboradors (Bailey and Baxter) and Kathy has a timid cat (Elphie).

We are typically up early for work, as are the dogs. We certainly try to keep noise to a minimum but light sleepers should be warned. My children also visit every Wednesday during the day (after 9am). They're little so we're still working on being quiet when people are sleeping. If you know you need a late sleep let us know and we can come back to the house a little later in the morning. 

I hope you'll enjoy your stay in my awesome Buena Park apartment! The neighborhood is great with just about anything you need close by. If you need help with anything during your stay please do not hesitate to ask.


Stasch


Lyft free ride ($20 off/new user only): BEOURGUEST
Uber free ride ($20 off/new user only): j1w3m
Instacart ($10 off first order): STASCHK1
Drizly ($5 off first order): AIRBNB
Washio ($25 off first order): STASCH64339F967
",21,286,Private or Shared Room,Chicago,f,2,0,4,6,0,1,0,10,0
1407749,"Young professional is the term, right? Love traveling and meeting new people. Happy to live in such a great city as Chicago. Live and work in the city for many years, and never get tired of rediscovering its music, food, events, and awesome authentic neighborhoods.
Personally, had nothing but a positive experience with AirBnB anywhere I went, in the States or Europe. So decided to share my place with the same wanderlust type of people like myself.
Would gladly suggest you the things to do and places to see, even some cool hidden gems. 
Enjoy your travels! 

- Best things in life aren't things. ",9,103,Private or Shared Room,Chicago,t,1,1,2,0,0,1,2,4,0
29460365,"I am working professional in Chicago and love to meet new people, explore the city, and spend time with my friends and family. 

In the summer I like to catch a Cubs game, grill out, or go to concerts. Looking forward to hearing from you! ",3,45,Entire Home/Apt,Chicago,f,2,0,1,1,0,1,0,1,0
15616603,"I'm a geek at heart, currently an IT consultant. I enjoy movies and music festivals!

my favorite books are fountain head, think & grow rich, & moved my cheese

My life motto is good luck , bad luck who knows?",3,37,Entire Home/Apt,Chicago,f,2,0,1,0,0,0,0,0,0
29716517,"Super friendly guy, easy going and very relax. Engineer and Flamenco Dancer.
Moved to Chicago on July 2011.
Enjoy travel, A LOT!!!! Music and arts... ",5,24,Private or Shared Room,Chicago,f,2,0,1,0,1,1,1,0,0
22130188,"Married couple, born and raised in Chicago, but we love to travel. My husband retired (thank-God)  a Lieutenant after 30 years in Law Enforcement.  Our home is a vintage home with vintage furnishings which makes it cozy and comfortable.  It is situated in an urban neighborhood on a thoroughfare and close to public transportation.  We don't live at the house so after check-in you might not see much of us but we are available to answer any questions.  ",5,79,Entire Home/Apt,Chicago,f,0,0,1,2,0,1,1,3,0
1384494,"I'm a music lover, and a food lover. I will travel great distances for a music fest, or to try the local cusine in a city. This world is amazing, and i want to enjoy what it has to offer. ",3,40,Private or Shared Room,Chicago,f,2,0,0,0,0,0,1,0,0
41574906,"Hi! We're late twenties / early thirties couple who galavant around town and go to cool events. We like to cook meals, see films at the Gene Siskel center and take our dogs to the dog parks.

MB is a web and mobile designer who reads tarot and goes to the gym and is reading Infinite Jest.

Stevie is the director of operations for an award winning coffee company who draws and collects lots of oddities. 

We have both lived in Chicago for many years and enjoy the culture around us. We have tons of suggestions for things to do and would love to help you find what fits you and yours. 

",7,111,Private or Shared Room,Chicago,f,3,0,1,1,0,1,0,2,0
16237886,"I'm Lawrence and this is my home.
I'm Originally from Texas, but I've lived in Chicago for 6yrs.
I have just completed my first year in the hospitality industry as well as my first year as an AirBnB host. 
I love music, food, and meeting new and interesting people. Which I hope to convey in the decor and vibe of my home.
 My favorite thing in the world is My Standard Poodle, Grey. He's pretty great.
Travel is a hobby and passion of mine. 
And sharing the experience of travel with my AirBnB guests fuels that passion. 
I look forward to meeting you!
",10,103,Private or Shared Room,Chicago,f,1,0,1,1,0,1,2,4,0
2356907,"Your beliefs don't make you a better person, it is your empathy and behavior that does. 

Airbnb is built on relationships so here is a little about me. I am always optimistic, cheerful, caring, compassionate, cultured, pleasant,  a listener, trustworthy, honorable, liberal, open-minded, respectful, 50/50 introvert/extrovert, knowledgeable in numerous subjects and always open to learning new things. 

I have traveled to over 93 countries and know 9 languages and am learning a few more.  I focus on languages because it is one of the truest way understanding another culture.  A whole new world opens out.  I love discovery!This has made me very open minded in all avenues of life and helps me to relate to any culture, foods, language, religion, sexual orientation or person. I also understand very well the needs of a traveler.  You will find staying with me an enriching experience. I have been criminal/background checked on Wyzant where I tutor students, also as an ex-employee of the U.S. Federal Government and the World Bank Group and other private corporations.

I hold degrees at the Doctor, Master, and Bachelor levels. My areas of expertise are in medicine, sports health, preventative health, medical research, information technology, massage therapy, travel, and computer programming. I make a difference in the community by tutoring medical, dental, and science college and university level students.  I also volunteer and participate in helping others in various levels.  

I love learning new things and my mind is never shut. I look forward to discovering what you have to teach me!",16,257,Private or Shared Room,Chicago,t,4,1,5,0,3,0,2,3,0
8036366,Quiet and hardworking startup guy!,1,5,Entire Home/Apt,Chicago,f,0,0,1,0,1,0,0,0,0
37587893,"Hello!

My name is Ben and I live in Chicago where I work as an accountant.  Please feel free to reach out if you would be interested in staying at my place for an upcoming trip to Chicago.",3,38,Entire Home/Apt,Chicago,f,0,0,1,0,0,2,0,2,0
3848556,"Artist who works from home sometimes. I love Chicago and all it has to offer, important architecture, great food, wonderful museums and plenty of night life. I have lived in Roscoe Village for over 10 years. I'm helpful with city suggestions and great with hidden discounts around the city! Biking is a great way to see the city and I bike whenever I can. I may even have a bike to spare. I love having guests in my home which I hope you find to be comfortable and clean. Chicago is a wonderful city, friendly and full of life!",8,98,Private or Shared Room,Chicago,f,2,0,1,0,0,3,0,3,0
668393,living in chicago,1,3,Private or Shared Room,Chicago,f,0,0,0,0,0,1,0,0,0
1652396,"I am a writer and editor, currently Senior Editor at Pipeline Magazine, a trade publication that focuses on international telecommunications business ((website hidden)). I'm also a professional musician. ((website hidden)).  I live in Chicago, IL, but currently, I'm staying in Hawaii for work and pleasure.  I love to travel and experience and learn about new cultures. I'm 36 yrs. old.",7,59,Private or Shared Room,Chicago,f,1,0,2,0,0,1,1,0,3
25247034,"Hello! With extensive travel under my belt and having lived abroad for many years, I get what people are looking for when they're traveling - a comfortable space, private setting and the creature comforts of a home. Being that I share the apartment with guests, I try to make sure that I have any and all the amenities to make that possible. 

Pilsen is a eclectic and diverse neighborhood with lots going on all the time. I couldn't think of a better home base in the city for myself, or for guests visiting. 

When I'm not working, I love to be active and out - whether that's riding my bike along the lake or going to a dog park with Hawkeye. I'm an easy going person and respect the privacy of others.",7,130,Private or Shared Room,Chicago,f,1,0,0,0,1,1,1,4,0
11372429,"I currently live in Pilsen, a charming, diverse, art-driven southside neighborhood of Chicago, and am fairly new to Airbnb.  

Some of my many interests include reading, music, traveling, cycling, cooking, animals and nature. I currently work within the restaurant industry in Chicago and actively participate in several non-profit organizations.  

As a host, you can expect me to be respectful, responsive, and hospitable. I want to ensure that every guest feels comfortable and safe during their stay. I simply ask that guests are respectful and rational in return. 

 As a guest, you can expect me to be respectful, tidy, and considerate. While visiting, I plan on spending a lot of time exploring and getting to know the area I am staying.  ",8,122,Private or Shared Room,Chicago,f,2,0,1,0,1,2,1,3,0
4727511,"I currently live in Chicago, IL although my hometown is Nashville, TN.

",1,12,Private or Shared Room,Chicago,f,0,0,0,0,0,1,0,0,0
844195,"When I stayed at my first Airbnb space, I was instantly hooked.  I enjoyed it so much that I wanted to share that experience with people visiting Chicago.

As a traveler, I love to explore a new city as if I were a local.  Walking out of an Airbnb space into a neighborhood setting gives me that feeling.  

As a host, I try to provide a seamless experience for guests.  Check out the reviews below to get a sense of what it is like to stay at my place.

Safe travels to all!


",7,93,Entire Home/Apt,Chicago,f,0,0,0,0,0,0,2,3,1
3230291,"In a nutshell, I am a fun 30s fellow who lives in Chicago and does high end interior design work.  

I have always been interested in showing hospitality to others.  Before airbnb this was mostly done by inviting friends and others over to my home for dinner or cocktails....but I find it equally rewarding to be able to host a traveler and know that my home with influence their trip for the better.  

As I am getting older I have decided that I really want to travel and see more of the world...but limited finances (coupled with my refusal to sit int he back of planes) as well as a desire to really get to see how people live and just not how tourists are treated makes this a great option for me!  

I have quite a few different interests, but I am very into anything design related (architecture, shops, urban life) and am an avid collector of mid century furnishings and love modern art from around 1910 to 1960.  I am happy to have one black cat (I like cat's but one is just enough to keep it interesting) and love to entertain friends often.  I am also a sucker for British TV, and you will often find BBC America in the background.

I was lucky enough to have the New York Times recently devote two entire pages to me in their home section, making me sound much more interesting in print as compared with in reality and publishing some lovely pictures of my life.

Oh, and my favorite color is that of a wet seal.....greenish gray and shiny!",9,271,Private or Shared Room,Chicago,f,5,0,1,1,0,1,1,2,0
3553527,"Casey from Chicago. I like cycling, tacos and basketball. ",2,9,Entire Home/Apt,Chicago,f,1,0,0,0,0,1,0,0,0
24943839,"My husband and I live in Chicago and travel on the weekends. When we travel, we like to stay somewhere that feels like home and is unique. We hope you consider us when looking to plan a trip to Chicago.",3,40,Entire Home/Apt,Chicago,f,0,0,0,0,0,2,2,2,0
39965350,"Hi, i'm your host, Russ! I'm a chocolatier for a European company based downtown in Chicago. I love all the good things in life: food, coffee, desserts, cocktails, music, nature, etc.  I'm an easy going host who can give you space or  possibly be your tour guide for the weekend if you like. I love to meet new people from all over the world (who speak English), with great stories, diverse backgrounds and a zest for life. I hope to host vibrant people with great manners who will respect my property and my neighbors. ",6,94,Private or Shared Room,Chicago,f,1,0,1,0,0,0,0,3,0
11517653,"I'm a managing director at a Great Lakes environmental and economic development non-profit. It keeps me pretty busy these days. 

I'm originally from Wisconsin, went to school down in New Orleans and Houston, and have been in Chicago for over 10 years now. It's a great town with lots to experience, and tons of great food. 

I'm a pretty laid back guy overall. I have a general optimistic outlook, with a healthy balance of pragmatism and snark.

As for hobbies, when I'm able: bowling, tennis and volleyball; and, I really like playing trivia. ",7,93,Private or Shared Room,Chicago,f,1,0,1,0,2,1,0,1,0
11912747,Student of finance ,1,3,Entire Home/Apt,Chicago,f,0,0,1,0,0,0,0,0,0
33166865,"I was born and raised in the Windy City. And no, Chicago is not called the Windy City because of the wind. (Please look it up)  I have a great sense of humor and I'm a big sports enthusiast.  I especially love baseball and I am a very big Chicago Cubs fan. That's my curse! I love meeting new people and I enjoy my time with my girlfriend while visiting museums and awesome restaurants through out this wonderful city.  I especially enjoy the culture and diversity of this great city

",7,90,Private or Shared Room,Chicago,f,4,0,0,1,1,2,0,0,1
25039507,Short Stay Chicago began renting professionally furnished studios in 2005. Our apartments are all located in the Gold Coast neighborhood which is very close to all the wonderful things that Chicago has to offer. We hope that you will rent with us - and allow us to provide you will enjoyable accommodations with your short stay in Chicago.  ,3,56,Entire Home/Apt,Chicago,f,0,0,0,0,0,3,0,2,0
7721079,"High school teacher in the city of Chicago.
Coach track and field in the suburbs.
My dog is my homie, it's her house too.
I enjoy visiting new places, mainly relaxing ones.
I am very open and sociable.",5,38,Private or Shared Room,Chicago,f,0,0,2,1,1,1,1,0,0
11130498,"31 year old professional born and raised in NYC.  Courteous, efficient, respectful, clean and trustworthy host.  ",2,15,Entire Home/Apt,New York,f,0,0,1,0,1,1,0,0,0
22688856,"I've lived in New York City for over 10 years, all of that time in the East Village and the Lower East Side (where I am now). I love the city, and never plan to leave...

Although travelling is my passion. Just this year, I've been to Colombia, Qatar, Morocco, Mongolia, Palm Springs (California)...and more! And I've loved (almost) every minute. I'm really excited at the prospect of being on the other side, helping other people travel and deal with a new location.

The Lower East Side is a fun, historic, friendly neighborhood. Just the block I live on could keep you entertained for a while (9 restaurants, 4 bars, 2 coffee shops, etc.) and is the perfect place to begin and end your day if you're exploring the city. I've been here a while, so am excited to share recommendations (if you like Mexican food, I'm your guy).",10,146,Private or Shared Room,New York,f,1,0,0,0,0,4,3,3,0
2216368,"I am an actress and writer living on the Lower East Side. 
",1,12,Private or Shared Room,New York,f,0,0,1,0,0,1,0,0,0
38762857,Travel helps never get too used to anything.,1,8,Private or Shared Room,New York,f,0,0,0,0,0,0,1,0,0
524333,Nice easy going clean :) .... Always available to help and make your stay more comfortable.,2,14,Entire Home/Apt,New York,f,0,0,0,0,1,0,0,1,0
1719081,"Hi, my name is Nicole Wu. I have been living in NYC for little more than 4 years and absolutely loving it. ",2,21,Private or Shared Room,New York,f,0,0,0,0,0,1,0,1,0
3494604,"I am a Brooklyn-based artist/musician and I have been living in Bushwick for the last 5 years.  I love the festivities and culture of this neighborhood and I also love sharing it with travellers from all parts of the world.  I've been quite involved in the community for awhile, so I have no shortage of fun places and art-based events to recommend to my guests.  If you're looking for a unique and genuine Brooklyn experience, contact me.  ",4,79,Entire Home/Apt,New York,f,2,0,1,0,0,2,0,3,0
13779334,Brooklyn by way of Seattle,1,5,Entire Home/Apt,New York,f,0,0,0,0,0,1,0,0,0
2476974,I design internet things and live in Brooklyn. I love to bike and eat and I get outside every chance I get. ,2,22,Private or Shared Room,New York,f,1,0,1,0,0,1,0,0,0
30111815,I am a student at Pace University,1,7,Private or Shared Room,New York,f,0,0,1,0,0,0,0,0,0
15762897,"5 facts about me:
I'm a world class Barista.
I'm a 4 time Gold medal Roller Derby star.
I'm an acclaimed DJ.
I'm a Moped Mrs.
I'll never be able to afford rent here. :)",6,32,Private or Shared Room,New York,f,2,0,3,1,0,0,0,0,1
1887580,"Pleasure to meet you! I've been living in New York for a little over 10 years and I can't think of a better place to call home. I've spent the majority of my career working in the educational realm as a music and theater teacher at the high school level and feel really  lucky to have found work that I am so passionate about.

I've spent the last few years living in a a neighborhood that is a true New York gem! The Cobble Hill/Carroll Gardens section of Brooklyn is an amazing community full of people who genuinely look happy! As hectic as NY can get, its nice to come home to a place where you feel like you can breath and take a nice stroll.  

I walk through life with optimism and faith in people and I'm glad to say that it has never let me down(probably one of my more non-New Yorker qualities). I'm excited to become a part of the Airbnb community!

-Cardozie   ",9,168,Entire Home/Apt,New York,f,1,0,1,0,1,5,0,3,1
2165038,"28 year old Australian Masters of Public Administration student. Former school teacher and management consultant. 

Loves to travel, especially to places warmer than here. ",3,23,Private or Shared Room,New York,f,0,0,2,0,0,0,1,0,0
24742173,I'm new to AirBnb!,1,4,Private or Shared Room,New York,f,0,0,0,0,0,0,0,0,1
1197823,"Hello! 
My name is Elliott and I am Boston-transplant living, creating, and building in Brooklyn, NY. 
When traveling: My top priorities when it comes to exploring new cities include finding pickup basketball, digging in vintage/thrift stores, and partying at local establishments. I like learning what makes cities unique through their vibes, from fashion to music to food. I'm not looking forward to the day when it no longer becomes acceptable to crash on a couch! 
When hosting: I try to make it a point to help guests make the most out of their NYC travels. My roommate Samson and I enjoy cooking, going out, staying active, and finding a great concert. Our guests are welcome to take part in whatever, or we can leave them alone if that's what they prefer. Moving to New York has been nothing short of incredible, and our apartment has played a major role. We look forward to sharing this unique space with travelers from all over! ",10,164,Private or Shared Room,New York,f,3,0,0,1,1,2,2,5,0
7293756,I am from the country and have a background in the arts. I like to travel and experience new things.,2,20,Private or Shared Room,New York,f,0,0,1,0,0,1,1,0,0
1971672,"Traveling, enjoying good food and good wine... this is what i am all about :-)",1,14,Private or Shared Room,New York,t,1,0,0,0,0,0,1,0,0
4051004,"I have enjoyed Airbnb while traveling through Europe and Australia and wanted to share my wonderful experience with others. I am lucky enough to live in a highly desirable neighborhood in Manhattan where I can enjoy restaurants, shops and long runs along the water and would like to offer the same to my guests!",2,54,Entire Home/Apt,New York,f,1,0,0,0,0,1,1,2,0
36600602,"Hi guys! I'm Sharon! I'm super friendly and love meeting new people of different cultures. I'm multi-cultural myself, half British and Taiwanese.  I love to travel but I also love to come home to NYC! I just moved here from London a few years ago and I absolutely love it! I'm a really relaxed host.. I'll probably be in and out (out for the most part) of the apartment. But I love to give people great recommendations for where to eat and what to see in the big apple! I look forward to meeting you guys soon!",10,98,Private or Shared Room,New York,f,0,0,0,0,1,4,1,6,0
156581,"I live in NY city, enjoy it immemsely.",1,8,Entire Home/Apt,New York,f,0,0,0,0,0,1,0,0,0
2714050,"Girl from Queens, now living in Uptown NYC.
Self proclaimed foodie, athlete (runner) and nature lover. 
Enjoy reading, dreaming and exploring.
I speak Russian and would love to practice more Spanish.
I like to stay like a local and indulge in good food and craft beers, see cultural sites and speak to fellow travelers and locals to get the most of the trip. I like to do pilates and hike and make it a point to see some natural wonders wherever I go.
Currently working full time in fashion retail operations.",7,91,Private or Shared Room,New York,f,4,0,1,0,0,1,1,0,0
3424306,"I'm a Brooklyn-based freelance arts and culture writer. I grew up in Napa, California, and I've lived in Santa Barbara, San Diego, Italy, Laos, San Francisco, and Nashville. My passions include travel, music, hiking, good books, cooking, and creating things. 

I'm sort of a newbie as far as Airbnb goes, but I've unofficially hosted friends, bands, artists, gypsies, buskers, wizards, and many other people throughout the years.  

I think traveling, and most of life, really, is about the relationships you make along the way. And I think Airbnb is a great way to become acquainted with local culture as a guest, or to share your world with others as a host.",6,112,Private or Shared Room,New York,f,1,1,1,0,0,2,1,2,0
957290,Have been living in New York for the past 15 years.  I work in the media industry and love to travel!  ,2,20,Entire Home/Apt,New York,f,0,0,1,0,0,1,1,0,0
3955766,"I was born and raised in rural South Dakota and I have lived in Brooklyn for over fifteen years. I have traveled much of the USA, as well as Europe, North Africa, Central America and the Caribbean. I have owned and operated a business here for five years with my sister - a pie bakery called Four & Twenty Blackbirds located in Gowanus, Brooklyn. I am a baker, cookbook author, runner, cyclist, Bikram yoga practitioner and lover of New York City. If you like, I'll be happy to share tips on what to see, where to eat and what interesting adventures lie in and around this town. I have lived in my current neighborhood for nine years, so I know it well; it is a unique and ever changing Brooklyn neighborhood with much to offer.",6,133,Private or Shared Room,New York,f,1,0,2,1,0,2,1,1,0
4410966,"I'm a therapist. This is where I live/work when in NYC about 6-8 times per year. I mostly live in the East San Francisco Bay Area. I  allow guest to stay in my apt when gone. The energy of my lifestyle including my apt is spacious, sacred, and clear.  Partying and smoking type people need not inquire.",6,57,Entire Home/Apt,New York,f,0,0,1,0,1,2,0,1,1
4285729,Fashion stylist. I live with a contemporary artist. Our place is cute & special!,3,13,Entire Home/Apt,New York,f,0,0,1,1,0,0,0,1,0
1033659,"I moved to New York City In 2009. I have a dance company, Mari Meade Dance Collective, and teach all kinds of dance to ages kids throughout the city. I've lived in New Orleans, California and North Carolina. I like exploring cities through the back roads- for example I went Basilica hunting in Rome, castle hunting in Scotland, and bar hopping in London. I love the arts, and try to stay involved in the local scenes wherever I go. I like to have a home base, somewhere simple and comfortable that we can come back to and relax in. I value honesty, openness, ideas and generosity.  I love living in Brooklyn and really enjoy the art and music scene that is happening right now. I am also very in touch with the local scene and love introducing others to it.  I also frequent many bars and restaurants  in out neighborhood and am always willing to take in a night cap. My roommate, Danny, is a friendly, hilarious guy that works in the TV industry.



As a host I will be very informational on what goes around in the neighborhood, and let you know the ins and outs of Brooklyn and some really great places to eat!  I am friendly and will do my best to make anyone feel comfortable and happy.  We have a very comfortable living space that we have worked really hard to put together.  We are very proud of it and love sharing it with people.  We hope it serves others as well as it serves us! :)
",17,259,Private or Shared Room,New York,f,6,0,2,1,2,4,1,7,0
